aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
ESPECIALIZADA,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,MONOMOTOR,1,1975,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,ESPECIALIZADA,NENHUM,0
ADMINISTRAÇÃO DIRETA,AVIÃO,HAWKER BEECHCRAFT,B200GT,TURBOÉLICE,BIMOTOR,9,2008,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,POLICIAL,LEVE,0
PARTICULAR,AVIÃO,PILATUS,PC-12/47,TURBOÉLICE,MONOMOTOR,10,2006,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2,1990,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0
ESPECIALIZADA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,PISTÃO,MONOMOTOR,1,1977,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,CHEQUE DE MOTOR OU ROTOR,ESPECIALIZADA,LEVE,0
INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,150E,PISTÃO,MONOMOTOR,2,1965,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0
PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,MONOMOTOR,4,1989,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,LEVE,0
TÁXI AÉREO,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,BIMOTOR,10,1979,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,NENHUM,0
ADMINISTRAÇÃO DIRETA,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,TURBOEIXO,MONOMOTOR,6,1992,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,POLICIAL,LEVE,0
PARTICULAR,AVIÃO,CIRRUS DESIGN,SR22,PISTÃO,MONOMOTOR,4,2006,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
