aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
***,AVIÃO,BEECH AIRCRAFT,95-B55,PISTÃO,BIMOTOR,6,1976,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,BARRA DO GARÇAS,RONDONÓPOLIS,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,JATO,BIMOTOR,125,2010,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0
EXPERIMENTAL,AVIÃO,EDUARDO LEITO BRUNIALTI,RV-10,PISTÃO,MONOMOTOR,4,2010,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,EXPERIMENTAL,NENHUM,0
TÁXI AÉREO,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,BO-105S,TURBOEIXO,BIMOTOR,6,1988,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,LEVE,0
EXPERIMENTAL,ULTRALEVE,AUGUSTO LUIZ CAMPOS BARROSO,VIRUS SW,PISTÃO,MONOMOTOR,2,2012,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,NENHUM,0
TÁXI AÉREO,HELICÓPTERO,AGUSTA,AW139,TURBOEIXO,BIMOTOR,14,2009,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
ADMINISTRAÇÃO DIRETA,HELICÓPTERO,HELIBRAS,AS 350 B2,TURBOEIXO,MONOMOTOR,6,1999,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,CHEQUE DE MOTOR OU ROTOR,POLICIAL,LEVE,0
REGULAR,AVIÃO,FOKKER,F28MK0100,JATO,BIMOTOR,107,1992,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
***,AVIÃO,AIRBUS INDUSTRIE,A340-313X,***,QUADRIMOTOR,0,1997,SUIÇA,SUIÇA,AVIÃO,***,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,***,NENHUM,0
TÁXI AÉREO,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135P2+,TURBOEIXO,BIMOTOR,7,2006,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NENHUM,0
PARTICULAR,AVIÃO,CESSNA AIRCRAFT,525A,JATO,BIMOTOR,10,2002,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,LEVE,0
EXPERIMENTAL,ULTRALEVE,AEROBRAVO LTDA,SKYRANGER,PISTÃO,MONOMOTOR,2,2008,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,EXPERIMENTAL,NENHUM,0
TÁXI AÉREO,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6,1980,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,TÁXI AÉREO,NENHUM,0
REGULAR,AVIÃO,BOEING COMPANY,727-214,JATO,TRIMOTOR,5,1979,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-100 LR,JATO,BIMOTOR,106,2008,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-42-720,TURBOÉLICE,BIMOTOR,9,1985,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,PISTÃO,MONOMOTOR,4,1988,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,NENHUM,0
NÃO REGULAR,AVIÃO,MCDONNELL DOUGLAS,MD-11F,JATO,TRIMOTOR,0,1998,ALEMANHA,ALEMANHA,AVIÃO,NÃO REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,LEVE,0
PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,7,1979,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-100 LR,JATO,BIMOTOR,113,2012,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,NENHUM,0
INSTRUÇÃO,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6,1980,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,NENHUM,0
REGULAR,AVIÃO,BOEING COMPANY,777-32WER,JATO,BIMOTOR,382,2008,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0
INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,MONOMOTOR,4,1980,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,LEVE,0
TÁXI AÉREO,AVIÃO,LEARJET,35A,JATO,BIMOTOR,10,1978,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,TÁXI AÉREO,LEVE,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,JATO,BIMOTOR,172,2011,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0
ADMINISTRAÇÃO DIRETA,AVIÃO,BEECH AIRCRAFT,B200,TURBOÉLICE,BIMOTOR,10,1991,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NÃO REGULAR,LEVE,0
NÃO REGULAR,AVIÃO,BOEING COMPANY,737-4Y0,JATO,BIMOTOR,8,1991,BRASIL,BRASIL,AVIÃO,NÃO REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,JATO,BIMOTOR,125,2011,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
PARTICULAR,AVIÃO,EMBRAER,EMB-500,JATO,BIMOTOR,8,2013,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
ADMINISTRAÇÃO DIRETA,HELICÓPTERO,EUROCOPTER FRANCE,EC 130 B4,TURBOEIXO,MONOMOTOR,7,2009,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,POLICIAL,NENHUM,0
ADMINISTRAÇÃO DIRETA,HELICÓPTERO,BELL HELICOPTER,407,TURBOEIXO,MONOMOTOR,7,1998,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,POLICIAL,LEVE,0
INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,3,1988,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,NENHUM,0
EXPERIMENTAL,ULTRALEVE,TRIKE ICAROS LTDA,Adventure,PISTÃO,MONOMOTOR,2,2012,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,EXPERIMENTAL,LEVE,0
EXPERIMENTAL,ULTRALEVE,JOÃO ISMAEL VICENTINI,Excel Cargo,PISTÃO,MONOMOTOR,2,2012,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,EXPERIMENTAL,LEVE,0
EXPERIMENTAL,ULTRALEVE,***,KR-2,PISTÃO,MONOMOTOR,2,2008,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,EXPERIMENTAL,DESTRUÍDA,2
***,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,MONOMOTOR,2,1940,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
***,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6,1978,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,PINTO MARTINS,CAMOCIM,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
EXPERIMENTAL,ANFÍBIO,***,SEAWIND AVIAO,PISTÃO,MONOMOTOR,0,0,BRASIL,BRASIL,ANFÍBIO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,EXPERIMENTAL,DESTRUÍDA,0
***,AVIÃO,EMBRAER,EMB-202A,PISTÃO,MONOMOTOR,1,2010,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
***,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,PISTÃO,MONOMOTOR,2,2005,BRASIL,BRASIL,HELICÓPTERO,INSTRUÇÃO,AVL,AVL,MANOBRA,INSTRUÇÃO,DESTRUÍDA,0
***,AVIÃO,CESSNA AIRCRAFT,150J,PISTÃO,MONOMOTOR,2,1969,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,TERUEL IPANEMA ESTÂNCIA,FORA DE AERODROMO,ARREMETIDA NO AR,INSTRUÇÃO,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,MONOMOTOR,1,1986,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,140,PISTÃO,MONOMOTOR,2,1946,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,CACHOEIRA DO SUL,CACHOEIRA DO SUL,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,NENHUM,2
***,AVIÃO,EMBRAER,EMB-202A,PISTÃO,MONOMOTOR,1,2013,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711A,PISTÃO,MONOMOTOR,4,1979,BRASIL,BRASIL,AVIÃO,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,RONDONÓPOLIS,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
***,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,MONOMOTOR,4,2001,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,SOROCABA,AMERICANA,PARTIDA DO MOTOR,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,MONOMOTOR,11,1994,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,ADALBERTO MENDES DA SILVA,SOROCABA,TÁXI,TÁXI AÉREO,SUBSTANCIAL,0
***,AVIÃO,PIPER AIRCRAFT,PA-25-235,PISTÃO,MONOMOTOR,1,1975,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,CIRRUS DESIGN,SR22,PISTÃO,MONOMOTOR,4,2011,BRASIL,BRASIL,AVIÃO,PARTICULAR,FAZENDA PERDIZES,BACACHERI,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,210N,PISTÃO,MONOMOTOR,6,1980,BRASIL,BRASIL,AVIÃO,PARTICULAR,DONA IRACEMA,SÍTIO FLYER,CRUZEIRO,PRIVADA,SUBSTANCIAL,3
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,PISTÃO,MONOMOTOR,1,1975,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,DESTRUÍDA,1
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,PISTÃO,MONOMOTOR,1,1974,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,AGRÍCOLA,NENHUM,1
***,AVIÃO,CESSNA AIRCRAFT,150L,PISTÃO,MONOMOTOR,2,1973,BRASIL,BRASIL,AVIÃO,PARTICULAR,AERÓDROMO NACIONAL DE AVIAÇÃO,AERÓDROMO NACIONAL DE AVIAÇÃO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
***,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,MONOMOTOR,4,1997,BRASIL,BRASIL,HELICÓPTERO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,DESTRUÍDA,2
***,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,MONOMOTOR,2,1997,BRASIL,BRASIL,HELICÓPTERO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,INSTRUÇÃO,NENHUM,2
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,MONOMOTOR,7,1986,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0
***,AVIÃO,EMBRAER,EMB-202A,PISTÃO,MONOMOTOR,1,2010,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,172N,PISTÃO,MONOMOTOR,0,1979,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,DESTRUÍDA,4
***,AVIÃO,PIPER AIRCRAFT,PA-25-260,PISTÃO,MONOMOTOR,1,1974,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,DESTRUÍDA,0
***,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,7,1976,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FAZENDA ÁGUA LIMPA,LÁBREA,TÁXI,TÁXI AÉREO,LEVE,0
EXPERIMENTAL,ULTRALEVE,***,SUPERPULSAR 100,PISTÃO,MONOMOTOR,2,2006,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,EXPERIMENTAL,SUBSTANCIAL,1
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,MONOMOTOR,1,1991,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,AGRÍCOLA,SUBSTANCIAL,0
REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,TURBOÉLICE,BIMOTOR,73,2011,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0
REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,TURBOÉLICE,BIMOTOR,75,2013,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,TURBOÉLICE,BIMOTOR,0,2014,COLÔMBIA,COLÔMBIA,AVIÃO,***,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
***,AVIÃO,CESSNA AIRCRAFT,T210L,PISTÃO,MONOMOTOR,6,1975,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,ARAGUAÍNA,ARAGUAÍNA,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,1
***,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,BIMOTOR,6,1975,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,ITAITUBA,JACAREACANGA,DESCIDA,TÁXI AÉREO,DESTRUÍDA,5
***,AVIÃO,BEECH AIRCRAFT,95-B55,PISTÃO,BIMOTOR,6,1972,BRASIL,BRASIL,AVIÃO,PARTICULAR,SÍLVIO NAME JÚNIOR,ARAPONGAS,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,182T,PISTÃO,MONOMOTOR,0,2006,BRASIL,BRASIL,AVIÃO,PARTICULAR,ESTÂNCIA SANTA MARIA,FAZENDA ARARAS,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,MONOMOTOR,1,2005,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,150L,PISTÃO,MONOMOTOR,2,1973,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,MONOMOTOR,1,1993,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,1
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,PISTÃO,MONOMOTOR,6,1977,BRASIL,BRASIL,AVIÃO,PARTICULAR,JUÍNA,ARIPUANÃ,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6,1979,BRASIL,BRASIL,AVIÃO,PARTICULAR,MANUEL URBANO,SANTA ROSA DO PURUS,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,MONOMOTOR,1,1994,BRASIL,BRASIL,AVIÃO,PARTICULAR,ITAITUBA,JACAREACANGA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,1
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,MONOMOTOR,1,1987,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,188B,PISTÃO,MONOMOTOR,1,0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,MONOMOTOR,1,1989,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,EMBRAER,EMB-202,PISTÃO,MONOMOTOR,1,2013,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,MONOMOTOR,6,1976,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,TÁXI AÉREO,SUBSTANCIAL,1
***,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,PISTÃO,MONOMOTOR,2,2013,BRASIL,BRASIL,HELICÓPTERO,INSTRUÇÃO,HELICENTRO RIBEIRÃO PRETO,HELICENTRO RIBEIRÃO PRETO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,2
***,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,MONOMOTOR,2,1948,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,AEROCLUBE DE PASSO FUNDO,AEROCLUBE DE PASSO FUNDO,MANOBRA,INSTRUÇÃO,NENHUM,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PISTÃO,MONOMOTOR,7,1977,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,MARECHAL CUNHA MACHADO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,MONOMOTOR,1,1988,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,MONOMOTOR,1,1982,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,1
***,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,7,1979,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,CASSILÂNDIA,SANTA RITA DO ARAGUAIA,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0
***,AVIÃO,FOKKER,F28MK0100,JATO,BIMOTOR,107,1992,BRASIL,BRASIL,AVIÃO,REGULAR,SENADOR NILO COELHO,PRESIDENTE JUSCELINO KUBITSCHEK,CRUZEIRO,REGULAR,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,182Q,PISTÃO,MONOMOTOR,4,1980,BRASIL,BRASIL,AVIÃO,PARTICULAR,ESTADUAL ARTHUR SIQUEIRA,ESTADUAL ARTHUR SIQUEIRA,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,MONOMOTOR,6,1982,BRASIL,BRASIL,AVIÃO,PARTICULAR,ARIPUANÃ,FORA DE AERODROMO,OUTRA FASE,PRIVADA,DESTRUÍDA,4
***,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,MONOMOTOR,2,1946,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,REGIONAL DE RIO GRANDE,REGIONAL DE RIO GRANDE,SUBIDA,INSTRUÇÃO,SUBSTANCIAL,0
***,AVIÃO,PIPER AIRCRAFT,PA-34-200,PISTÃO,BIMOTOR,7,1973,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FLORES,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,AIR TRACTOR,AT-502B,TURBOÉLICE,MONOMOTOR,1,2013,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,DESTRUÍDA,0
***,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,MONOMOTOR,1,1977,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,PISTÃO,MONOMOTOR,1,1976,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,PIPER AIRCRAFT,PA-46-350P,PISTÃO,MONOMOTOR,6,1998,BRASIL,BRASIL,AVIÃO,PARTICULAR,SOROCABA,CAMPO DE MARTE,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,RAYTHEON AIRCRAFT,58,PISTÃO,BIMOTOR,6,2000,BRASIL,BRASIL,AVIÃO,PARTICULAR,FAZENDA RIO FONTOURA,AMERICANA,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,T210N,PISTÃO,MONOMOTOR,6,1983,BRASIL,BRASIL,AVIÃO,PARTICULAR,NOVO PROGRESSO,FORA DE AERODROMO,ARREMETIDA NO AR,PRIVADA,DESTRUÍDA,2
***,HELICÓPTERO,EUROCOPTER FRANCE,EC 120 B,TURBOEIXO,MONOMOTOR,5,2002,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,PRESIDENTE JUSCELINO KUBITSCHEK,BRIGADEIRO ARARIPE MACEDO,APROXIMAÇÃO FINAL,POLICIAL,SUBSTANCIAL,0
***,HELICÓPTERO,BELL HELICOPTER,206L-3,TURBOEIXO,MONOMOTOR,7,1986,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,DRAGÃO DO AR,FORA DE AERODROMO,VOO A BAIXA ALTURA,PRIVADA,SUBSTANCIAL,0
EXPERIMENTAL,AVIÃO,EDEVALDO MARTINS FERREIRA,RV-10,PISTÃO,MONOMOTOR,4,2012,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,2
